번호,구분,세부구분,제목,작성자,등록일자,본문,저작권자,웹페이지주소(URL),태그,뷰
226284,COVID-19,"과학기술,속보뉴스,코로나19",감자튀김 부족에 아보카도는 익은 상태로…식품업계도 물류난 영향(종합),연합뉴스,2021-10-06,신종 코로나바이러스 감염증(코로나19) 사태로 인한 전 세계 물류대란이 국내 식품업계에도 영향을 미치고 있다. 5일 식품업계에 따르면 일부 패스트푸드점에서 감자튀김 품귀 현상이 벌어...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226284,기타,269
226265,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19,과학핫이슈"," 임산부 백신 접종, 모유수유·시험관 시술중에도 가능",연합뉴스,2021-10-05,임신부를 대상으로 한 신종 코로나바이러스 감염증(코로나19) 백신 접종이 이달 18일부터 시작된다. 전문가들은 백신 접종이 임신부와 태아에게 안전하다고 강조했다. 백신 접종으로 인한 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226265,기타,73
226263,COVID-19,"과학기술,속보뉴스,코로나19","화이자 백신 부스터샷 감염예방 11.3배↑, 중증예방 19.5배↑",연합뉴스,2021-10-05,"신종 코로나바이러스 감염증(코로나19) 예방 백신의 접종 효과를 보강하기 위해 추가 접종을 하는 이른바 '부스터 샷'이 이달부터 고령층과 의료진, 면역저하자 등 고위험군을 대상으로 시행된...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226263,기타,224
226238,COVID-19,"분야별뉴스,과학기술,보건의학,유전자,비만,예쁜꼬마선충,과체중,코로나19",과체중 막아주는 유전자 찾아냈다,이성규 객원기자,2021-10-07,"체중 증가를 예방할 수 있는 유전자 3개와 비만을 유발하는 유전자 14개를 확인한 연구 결과가 발표됐다. 이 연구 결과는 비만 및 다이어트, 그리고 DNA의 복잡한 교차점을 밝히는 데 도움이 되...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226238,"유전자,비만,예쁜꼬마선충,과체중,코로나19",1986
226234,COVID-19,"분야별뉴스,과학기술,보건의학,신소재신기술,피부 패치,3D 프린팅,코로나19,마이크로니들,노스캐롤라이나주립대학,패치형백신,피츠버그대학,미세바늘",3D 프린팅으로 만든 패치형 백신,정승환 객원기자,2021-10-05,"피부에 붙이는 패치형 백신은 10여 년 동안 활발히 연구됐다. 기존 주사기보다 통증이 적고, 피하주사보다 용량을 절약할 수 있다. 또, 건조 형태로 제형화할 수 있어 저온 보관에 대한  제약...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226234,"피부 패치,3D 프린팅,마이크로니들,노스캐롤라이나주립대학,패치형백신,피츠버그대학,미세바늘",1271
226189,COVID-19,"과학정책,과학기술,과학정책브리핑,속보뉴스,코로나19","코로나블루, AI에 채팅으로 비대면 상담 받아보세요",연합뉴스,2021-10-01,"신종 코로나바이러스 감염증(코로나19)으로 인한 활동 제약, 우울감을 이겨낼 수 있도록 돕는 정부의 인공지능(AI) 정서장애 관리서비스 '마이멘탈포켓'이 10월 1일 시범 공개된다. 과학기술정...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226189,기타,106
226118,COVID-19,"과학기술,행사현장,보건의학,백신,감염병,과학문화,코로나19,바이오 안보,글로벌 기술 패권 경쟁,바이오 데이터","패권 경쟁시대, 우리 '바이오 안보' 현주소는",김순강 객원기자,2021-09-29,코로나19 팬데믹이 장기화되면서 바이오 안보에 대한 인식을 새롭게 하고 있다. 코로나 사태를 통해 바이오 이슈가 얼마든지 실제로 국가 안보의 위협 요소가 될 수 있다는 것을 보여주고 있기...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226118,"백신,감염병,코로나19,바이오 안보,글로벌 기술 패권 경쟁,바이오 데이터",316
226091,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19",코로나로 지난해 미·유럽 기대수명 2차대전 후 최대폭 감소,연합뉴스,2021-09-28,코로나19가 세계를 휩쓸기 시작한 지난해 유럽과 미국 등 세계 각국의 기대수명이 2차 세계대전 이후 가장 큰 폭으로 감소했다는 연구 결과가 나왔다. 기대수명 감소 폭이 가장 큰 나라는 미...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226091,기타,108
226055,COVID-19,"과학기술,보건의학,뇌,노화,알츠하이머병,회백질,코로나19",코로나19 가볍게 앓아도 뇌 손상된다,이성규 객원기자,2021-09-28,코로나19를 가볍게 앓은 경증 환자일지라도 뇌의 회백질이 감소하는 등 뇌 기능에 해로운 영향이 미친다는 연구 결과가 발표됐다. 이번 발견은 코로나19 바이러스가 노화와 같은 생물학적 과정...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226055,"뇌,노화,알츠하이머병,회백질,코로나19",3311
226012,COVID-19,"과학기술,보건의학,코로나19,반려동물,동물행동심리","포스트 팬데믹 시대, 반려견 행동장애 막으려면",황지혜 객원기자,2021-09-27,코로나19 대유행으로 반려견들이 주인과 24시간 교류하는 경우가 많아지면서 바이러스 종식 후 반려견의 행동장애를 우려하는 전문가들의 목소리가 나오고 있다. 동물행동심리학자들은 반려...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=226012,"코로나19,반려동물,동물행동심리",305
225842,COVID-19,"과학기술,인터뷰,과학기술인,코로나19,유네스코,아시아태평양 국제이해교육원,세계시민교육,인류 공동체 의식,멀티플 팬데믹,UNESCO APCEIU",멀티플 팬데믹에 대응하는 세계시민의식이 필요한 때,김현정 객원기자,2021-09-16,올해 초 유네스코 국제생명윤리위원회(IBC)와 세계과학지식기술윤리위원회(COMEST)는 코로나19 백신을 전 세계 공공재로 취급할 것을 촉구하는 성명서를 발표했다. 오드리 아줄레(Audrey Azoulay) 유...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225842,"유네스코,아시아태평양 국제이해교육원,세계시민교육,인류 공동체 의식,멀티플 팬데믹,UNESCO APCEIU",268
225802,COVID-19,"과학기술,신소재신기술,속보뉴스,코로나19,과학핫이슈",코로나19로 엘리베이터 내 바이러스 차단 기술 특허출원 급증,연합뉴스,2021-09-15,"신종 코로나바이러스 감염증(코로나19) 여파로 실생활 속 '3밀'(밀폐, 밀접, 밀집)의 대표적 장소인 엘리베이터 내에서 바이러스 전파를 차단하는 기술 관련 특허출원이 크게 늘었다. 14일 특...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225802,기타,183
225764,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19","한의학연, 인공지능 한의사 시스템 구축·양방과 융합의학 연구",연합뉴스,2021-09-14,한국한의학연구원이 인공지능(AI) 한의사 시스템을 구축하는 한편 한·양방 융합 치료기술 개발에도 나선다. 송미영 한의학연 부원장은 13일 대전 본원에서 기자 간담회를 하고 이 같은 내용...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225764,기타,157
225709,COVID-19,"과학정책,기술,과학기술,행사현장,디지털 트랜스포메이션,과학문화,코로나19,기술패권경쟁,신통상전략,포스트코로나시대,독일 인더스트리4.0,신제조업 혁명,이노베이션 디커플링,뉴내셔널...",과학기술 중심 '국가전략 대전환'해야,김순강 객원기자,2021-09-13,"코로나19 이후, 글로벌 사회는 과학기술 중심의 글로벌 패권 경쟁과 신냉전 체제로의 진입 등 급격한 환경 변화를 겪고 있다. 10일 ‘코로나19 이후, 과학기술중심의 국가 전략 대전환‘을 주제...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225709,"디지털 트랜스포메이션,기술패권경쟁,신통상전략,포스트코로나시대,독일 인더스트리4.0,신제조업 혁명,이노베이션 디커플링,뉴내셔널리제이션",431
225660,COVID-19,"기획 칼럼,연재,과학기술,정보통신IT,여행,ICT 로봇,코로나19,포스트 코로나,메타버스,‘0’에 과학기술을 더하다,위드 코로나,트래블테크,Travel-tech,호모 비아토르,Homo Viator",자유로운 여행을 기다리며 성장하는 트래블테크,김현정 객원기자,2021-09-09,코로나19가 끝나면 가장 하고 싶은 일은 무엇입니까 올해 초 한국문화관광연구원이 발표한 설문조사에서 코로나19 종식 이후 가장 하고 싶은 여가활동은 ‘여행’인 것으로 나타났다. ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225660,"여행,포스트 코로나,메타버스,위드 코로나,트래블테크,Travel-tech,호모 비아토르,Homo Viator",3326
225647,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19,과학핫이슈","KAIST 개발 이동형 음압병동, 경기도 생활치료센터로 운영된다",연합뉴스,2021-09-09,한국과학기술원(KAIST)은 자체 개발한 이동형 음압병동(이하 MCM)이 신종 코로나바이러스 감염증(코로나19) 경증 환자를 위한 '경기도 제2호 특별생활치료센터'로 운영된다고 8일 밝혔다. 산업...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225647,기타,119
225589,COVID-19,"과학기술,기초응용과학,보건의학,이스라엘,백신,방역,팬데믹,코로나19,부스터 샷",코로나19 부스터 샷에 대한 과학자들의 찬반론,한소정 객원기자,2021-09-08,8 코로나19 백신 게...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225589,"이스라엘,백신,방역,팬데믹,코로나19,부스터 샷",1689
225569,COVID-19,"기획 칼럼,연재,분야별뉴스,과학기술,보건의학,과학자의 연구실,코로나19,BRIC,BRIC이 만난 사람들",사람 3D 폐포 배양 기술로 코로나19 감염 기전 규명,BRIC,2021-09-07, KAIST 주영석 교수,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225569,"코로나19,BRIC,BRIC이 만난 사람들",837
225512,COVID-19,"과학기술,만화,사이토카인,코로나19,서경배과학재단,SUHF,폐포오가노이드,ARDS", 코로나19 기초 연구 소개 : 3편,서경배과학재단,2021-09-06,폐포 오가노이드의 개발에 대한 연구,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225512,"사이토카인,서경배과학재단,SUHF,폐포오가노이드,ARDS",317
225465,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19",변이 계속 나오는데 코로나백신 효과있나…중증 예방능력 충분,연합뉴스,2021-09-03,신종 코로나바이러스 감염증(코로나19) 팬더믹 이후 변이 바이러스가 연달아 출현하면서 변이 바이러스가 코로나 백신 접종 효과를 떨어뜨리는 게 아니냐는 우려가 나오고 있다. 이에 대해 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225465,기타,437
225458,COVID-19,"분야별뉴스,과학기술,만화,보건의학,사이토카인,코로나19,서경배과학재단,SUHF", 코로나19 기초 연구 소개 : 2편,서경배과학재단,2021-09-03,중증 환자에게서 나타나는 사이토카인 폭풍에 대한 연구,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225458,"사이토카인,서경배과학재단,SUHF",473
225424,COVID-19,"기획 칼럼,연재,분야별뉴스,과학기술,보건의학,백신,코로나19,과학핫이슈,전승민의 백신 이야기,점막백신","백신, 꼭 주사로 맞아야 할까",전승민 과학기술전문저술가,2021-09-02,"백신은 대부분 주사로 맞는다. 그만한 장점을 갖고 있기 때문이다. 약물을 확실하게 주입할 수 있고, 피부에 주사 자국이 생기지만 회복되면 거의 눈에 띄지 않는다. 백신을 개발하는 사람에게...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225424,"백신,코로나19,점막백신",4035
225407,COVID-19,"과학기술,만화,사이토카인,코로나19,서경배과학재단,SUHF", 코로나19 기초 연구 소개 : 1편,서경배과학재단,2021-09-02,중증 환자에게서 나타나는 사이토카인 폭풍,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225407,"사이토카인,서경배과학재단,SUHF",622
225336,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19,과학핫이슈","감염병에서 방관자 T세포의 역할은…KAIST, 리뷰논문 게재",연합뉴스,2021-09-01,한국과학기술원(KAIST)은 의과학대학원 신의철 교수·이호영 박사·정성주 대학원생 연구팀이 감염질환에서 '방관자 T세포'의 역할을 강조하는 주제로 면역학 분야 권위지인 '네이처 이뮤놀로지...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225336,기타,1309
225250,COVID-19,"기획 칼럼,연재,과학기술,독일,유럽,코로나,코로나19,유럽은 현재,4차 대유행",코로나 바이러스 4차 대유행이 시작된 독일,김민재 칼럼니스트,2021-08-30,높은 백신 접종률을 보이는 유럽 국가들 8월 25일 독일의 보건부 장관 옌스 슈판(Jens Sphan)은 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225250,"독일,유럽,코로나,4차 대유행",1750
225200,COVID-19,"과학정책,기술,과학기술,속보뉴스,코로나19,과학핫이슈,정책",민간 헌신으로 백신예약시스템 개선…참여기업·기관 간담회,연합뉴스,2021-08-26,"과학기술정보통신부와 질병관리청은 25일 코로나19 예방접종 사전예약시스템 개선에 참여한 민간 기업·기관과 간담회를 열었다. 이번 행사는 민간 기업과 기관에 감사의 마음을 전하고, 시...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225200,기타,93
225197,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19",코로나19 감염 줄일까…바이러스 단백질 번역 조절 인자 발굴,연합뉴스,2021-08-26,국내 연구진이 신종 코로나바이러스 감염증(코로나19)에 걸릴 위험을 줄일 수 있는 실마리를 찾아냈다. 한국연구재단은 고려대 박만성·김윤기 교수와 서울대 백대현 교수 공동 연구팀이 코...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225197,기타,408
225177,COVID-19,"과학기술,기초응용과학,정보통신IT,속보뉴스,코로나19,과학핫이슈,과학문화",코로나19 이후 게임에 대한 사회적 인식 개선돼,연합뉴스,2021-08-25,코로나19 확산으로 비대면 활동이 증가하면서 게임에 대한 사회적 인식도 긍정적으로 변화한 것으로 나타났다. 24일 한국게임학회가 만 19세 이상 2천명을 대상으로 한 인식 조사 결과에 따르...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225177,기타,214
225131,COVID-19,"분야별뉴스,과학기술,보건의학,백신,코로나19,과학핫이슈,델타변이",백신 접종자도 미접종자만큼 델타 변이 확산시킬 가능성 높다,황지혜 객원기자,2021-08-25,"세계의 여러 연구 결과가 백신을 접종한 사람들이 미접종자만큼 델타 바이러스를 옮길 가능성이 높다는 것을 보여주고 있다. 연구자들은 백신 접종 여부와 상관없이 마스크 착용, 개인위생 등...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225131,"백신,코로나19,델타변이",1524
225082,COVID-19,"분야별뉴스,과학기술,보건의학,기후해양,열대우림,코로나19,인수공통감염병,원헬스,벌목",제2의 코로나 막으려면 보건 패러다임 바꿔야,이성규 객원기자,2021-09-01,"현재 전 세계 보건 정책 담당자의 가장 중요한 관심사는 코로나19와 같은 파괴력을 지닌 미래의 또 다른 전염병을 사전에 막는 것이다. 이를 위해 각국 정부는 신속한 백신 개발, 새로운 치료제...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225082,"열대우림,코로나19,인수공통감염병,원헬스,벌목",709
225054,COVID-19,"분야별뉴스,과학기술,자연환경에너지,인플루엔자,보건의학,독감 백신,코로나19,코로나 19 바이러스,과학핫이슈,식물성백신,매디카고",식물성 백신의 시대 올까,정승환 객원기자,2021-08-24,캐나다 바이오 제약회사인 메디카고(Medicago). 최근 이 회사는 식물기반 코로나19 바이러스 백신 테스트의 2차 임상 결과가 긍정적으로 나타났다고 발표했다. 식물성 백신의 효과가 독감에 이어 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=225054,"인플루엔자,독감 백신,코로나 19 바이러스,식물성백신,매디카고",2172
224902,COVID-19,"분야별뉴스,과학기술,행사현장,보건의학,과학문화,코로나19,집단면역,과학핫이슈,방역 패러다임 변화,감염병 진료체계 정비","방역 전환, 의료체계 정비 선결돼야",김순강 객원기자,2021-08-19,40일 넘게 네 자릿수 신규 확진자를 기록하고 있어 코로나 4차 대유행의 기세가 좀처럼 꺾이지 않고 있다. 게다가 델타 변이의 출현과 돌파 감염으로 또 다른 위기 국면을 맞고 있다. 그런데 백...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224902,"코로나19,집단면역,방역 패러다임 변화,감염병 진료체계 정비",263
224890,COVID-19,"과학기술,신소재신기술,속보뉴스,코로나19,과학핫이슈",코로나19 백신기술 노린다…해외발 인력유출·투자사기 주의보,연합뉴스,2021-08-17,"최근 국내의 한 바이오업체는 중국 C사로부터 합작회사 설립과 투자를 제안받았다. 그러나 C사는 알고 보니 실체가 불분명한 페이퍼컴퍼니였고, 큰 손실을 입을 뻔했던 이 업체는 가슴을 쓸어...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224890,기타,111
224727,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19,과학핫이슈,과학문화",코로나19 환자 특유 'NK세포' 발견…중증 환자 치료 실마리,연합뉴스,2021-08-11,국내 연구진이 신종 코로나바이러스 감염증(코로나19) 환자에게서만 나타나는 자연살해(NK)세포를 발견했다. 한국과학기술원(KAIST) 의과학대학원 신의철 교수와 충남대병원 김연숙·천신혜 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224727,기타,458
224708,COVID-19,"기획 칼럼,연재,분야별뉴스,과학기술,기초응용과학,응용과학,보건의학,AIDS,백신,코로나19,과학핫이슈,전승민의 백신 이야기","미래 백신, 암도 AIDS도 정복한다",전승민 과학기술전문저술가,2021-08-10,"‘백신’이라는 말은 본래 라틴어로 소를 뜻하는 ‘Vacca’에서 나왔다. 에드워드 제너는 우두법을 이용해 천연두 예방약을 개발할 때 이 말을 쓰기 시작했으며, 이후 루이 파스퇴르가 여기서 ...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224708,"AIDS,백신,코로나19",3470
224693,COVID-19,"분야별뉴스,과학기술,기초응용과학,보건의학,바이러스,과학,코로나19,과학핫이슈,과학문화,3M,과학현황지수",과학이 코로나 시대 이전으로 돌아가게 해줄 것,김은영 객원기자,2021-08-20,"칠레, 영국, 이스라엘, 캐나다 등 신종 코로나바이러스 감염증-19(Covid-19) 백신 접종률이 70%에 달하는 국가들이 많아지면서 집단면역에 대한 기대감도 높아지고 있다. 그러나 대규모 백신 접종...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224693,"바이러스,과학,코로나19,3M,과학현황지수",2354
224689,COVID-19,"분야별뉴스,과학기술,보건의학,코로나19,코로나19 바이러스,ACE2,나노바디,과학핫이슈,과학문화,RBD,nanobodies,코로나19 변이바이러스,낙타,라마,Nature Communications","라마에서 추출한 ‘나노바디’, 코로나 변이에도 강했다",정승환 객원기자,2021-08-11,"지난해 코로나19 바이러스 제3의 치료제로 여기는 ‘나노바디(Nanobodies)’가 변이 바이러스에도 효과가 높은 것으로 나타났다. 나노바디는 일반 항체보다 10분의 1 수준의 크기로 낙타, 라마, 알...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224689,"코로나19 바이러스,ACE2,나노바디,RBD,nanobodies,코로나19 변이바이러스,낙타,라마,Nature Communications",2039
224668,COVID-19,"분야별뉴스,과학기술,보건의학,COVID-19,코로나19,과학핫이슈,과학문화,King’s College London,코로나19 진단,The Lancet Digital Health,신종 코로나 바이러스","코로나19 초기증상, 연령에 따라 다르다",김현정 객원기자,2021-08-10,코로나19의 감염 초기증상이 연령대와 성별에 따라 차이가 있다는 연구결과가 발표됐다. 영국 킹스칼리지 런던(King’s College London) 연구진이 지난달 30일에 발표한 ‘자가 보고 증상을 분석한...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224668,"COVID-19,코로나19,King’s College London,코로나19 진단,The Lancet Digital Health,신종 코로나 바이러스",3653
224591,COVID-19,"과학정책,기술,과학기술,기초응용과학,문화,코로나19,과학핫이슈,과학문화,도쿄올림픽,무관중",관중 없는 경기장이 선수들의 경기력을 떨어뜨린다,황지혜 객원기자,2021-08-06,관중이 없는 도쿄 올림픽이 선수들의 경기력에 영향을 미칠 수 있다는 분석이 나오고 있다. 일본 정부는 지난 7월 초 코로나19 감염자 수 증가와 델타 변이 확산에 대응해 국가비상령을 발령하...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224591,"도쿄올림픽,무관중",714
224572,COVID-19,"분야별뉴스,과학기술,보건의학,속보뉴스,코로나19,과학핫이슈",폐 손상 일으키는 코로나19 면역세포 기원·특성 밝혔다,연합뉴스,2021-08-05,"국내 연구진이 폐 손상을 일으키는 신종 코로나바이러스 면역세포의 기원과 특성을 밝혀냈다. 한국과학기술원(KAIST)은 의과학대학원 박수형 교수팀이 충북대 의대 최영기 교수, 지놈인사이...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224572,기타,331
224526,COVID-19,"과학기술,SF소설,과학문화,속보뉴스,코로나19,과학핫이슈",'포스트 팬데믹'을 상상하는 SF와 미스터리 세계,연합뉴스,2021-08-04,"SF(과학소설)와 미스터리 장르 작가들은 팬데믹이 사라진 세상을 어떻게 전망할까 천선란, 듀나 등 SF·미스터리 작가 9인이 이런 하나의 주제로 뭉쳐 단편소설을 선보인다. 전자책 구독 플...",Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224526,기타,130
224517,COVID-19,"분야별뉴스,과학기술,기초응용과학,보건의학,코로나19,기원,환자제로","코로나19의 기원, 찾을 수 있을까",황지혜 객원기자,2021-08-12,코로나19 바이러스의 기원에 대해 미국과 중국의 정치적 논쟁이 벌어지고 있는 가운데 과학계에서는 유전자 청사진 연구를 통해 진실에 가까이 가려는 노력이 계속 진행되고 있다. 지난달 22...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224517,"코로나19,기원,환자제로",1244
224504,COVID-19,"과학기술,정보통신IT,ICT 로봇,속보뉴스,코로나19,과학핫이슈",IBM 코로나 발생 기간 데이터 유출 비용 사상 최고치,연합뉴스,2021-08-03,코로나19 발생 이후 전 세계 기업들의 데이터 유출 피해액이 사상 최고치를 기록한 것으로 나타났다. 2일 IBM이 지난해 5월부터 올해 3월까지 세계 500여개 기업·조직을 대상으로 한 조사에 따...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224504,기타,88
224485,COVID-19,"기획 칼럼,연재,분야별뉴스,과학기술,기초응용과학,보건의학,백신,코로나19,과학핫이슈,전승민의 백신 이야기,재조합백신,자가증폭백신","신종 코로나 잡는 신종 백신, 어떤 것들이 있을까",전승민 과학기술전문저술가,2021-08-03,신종코로나바이러스 감염증(코로나19) 이후 백신기술이 급격히 진보하고 있으나 여전히 이 미증유의 바이러스를 정복하기엔 부족한 감이 있다. 백신의 생산과 보급이 바이러스의 전파속도를 ...,Science Times,https://www.sciencetimes.co.kr/post_type=news&p=224485,"백신,코로나19,재조합백신,자가증폭백신",2730
